"object","source","log_prop","in_cdi"
"banana slice","vqa",-10.2106229265711,FALSE
"banner","vqa",-10.903770107131,FALSE
"bar","vqa",-10.903770107131,FALSE
"bar stool","vqa",-10.903770107131,FALSE
"barbeque","vqa",-8.88886708658876,FALSE
"barbeque grill","vqa",-10.903770107131,FALSE
"barbie doll","vqa",-10.2106229265711,FALSE
"barrel","vqa",-10.903770107131,FALSE
"baseball","vqa",-10.903770107131,FALSE
"baseball bat","vqa",-9.1990220148926,FALSE
"baseball glove","vqa",-10.903770107131,FALSE
"basket","vqa_yoloe",-3.66494507277708,TRUE
"basket of fruit","vqa",-10.903770107131,FALSE
"basket of toy","vqa",-10.903770107131,FALSE
"basket with toy","vqa",-10.4983049990229,FALSE
"basketball","vqa",-7.98599937504675,FALSE
"basketball hoop","vqa",-7.45378256129944,FALSE
"bat","vqa_yoloe",-7.37779307452354,TRUE
"bath tub","vqa",-9.39969271035475,FALSE
"bathroom","vqa_yoloe",-6.08691021020605,TRUE
"bathroom cabinet","vqa",-10.2106229265711,FALSE
"bathroom sink","vqa",-10.4983049990229,FALSE
"bathtub","vqa_yoloe",-5.56259695964855,TRUE
"beach ball","vqa",-8.70654552979481,FALSE
"bead","vqa_yoloe",-7.06698306958019,FALSE
"bean","vqa_yoloe",-10.1253069049206,FALSE
"bean bag chair","vqa",-10.903770107131,FALSE
"bear","vqa_yoloe",-8.65855195060346,TRUE
"bear toy","vqa",-9.39969271035475,FALSE
"bed","vqa_yoloe",-2.70690602686007,TRUE
"bed frame","vqa",-8.95785995807572,FALSE
"bed sheet","vqa",-7.62662537413885,FALSE
"bedroom","vqa_yoloe",-8.71308857316711,TRUE
"bedspread","vqa",-10.903770107131,FALSE
"bee","vqa_yoloe",-9.3660738378064,TRUE
"belt","vqa_yoloe",-8.24817350508023,TRUE
"bench","vqa_yoloe",-4.89542299749973,TRUE
"bicycle","vqa_yoloe",-5.52835147807371,TRUE
"bicycle helmet","vqa",-10.903770107131,FALSE
"bike","vqa",-10.2106229265711,FALSE
"bin","vqa",-8.2296214577045,FALSE
"bird","vqa_yoloe",-7.4107294465989,TRUE
"bird feeder","vqa",-9.51747574601114,FALSE
"birdcage","vqa",-7.48604342351766,FALSE
"biscuit","vqa",-9.80515781846292,FALSE
"black board","vqa",-10.4983049990229,FALSE
"black box","vqa",-8.65247830852453,FALSE
"black hose","vqa",-10.903770107131,FALSE
"black oven","vqa",-9.98747937525687,FALSE
"black pan","vqa",-10.4983049990229,FALSE
"black tv","vqa",-9.1990220148926,FALSE
"black watch","vqa",-10.903770107131,FALSE
"blackberry","vqa",-10.903770107131,FALSE
"blackboard","vqa",-7.74676968598092,FALSE
"blanket","vqa_yoloe",-3.11522009878139,TRUE
"blender","vqa",-7.04304039609043,FALSE
"blind","vqa",-8.70654552979481,FALSE
"block","vqa_yoloe",-5.71453931978944,TRUE
"blueberry","vqa",-10.903770107131,FALSE
"board","vqa",-7.19019804042672,FALSE
"board game","vqa",-9.65100713863566,FALSE
"boat","vqa_yoloe",-8.06358392279654,TRUE
"book","vqa_yoloe",-1.77681323152415,TRUE
"book cover","vqa",-8.82432856545119,FALSE
"bookcase","vqa",-7.26618394740464,FALSE
"bookshelf","vqa",-2.88728720573969,FALSE
"bottle","vqa_yoloe",-2.67368221056189,TRUE
"bottle cap","vqa",-10.2106229265711,FALSE
"bottle of detergent","vqa",-8.88886708658876,FALSE
"bottle of hand wash","vqa",-10.903770107131,FALSE
"bottle of ketchup","vqa",-9.65100713863566,FALSE
"bottle of lotion","vqa",-9.98747937525687,FALSE
"bottle of milk","vqa",-9.98747937525687,FALSE
"bottle of mouthwash","vqa",-10.903770107131,FALSE
"bottle of oil","vqa",-9.51747574601114,FALSE
"bottle of sauce","vqa",-8.95785995807572,FALSE
"bottle of shampoo","vqa",-10.903770107131,FALSE
"bottle of soap","vqa",-9.29433219469693,FALSE
"bottle of water","vqa",-10.903770107131,FALSE
"bottle of wine","vqa",-10.2106229265711,FALSE
"bow","vqa",-10.903770107131,FALSE
"bowl","vqa_yoloe",-2.57291924574374,TRUE
"bowl of ball","vqa",-10.903770107131,FALSE
"bowl of blueberry","vqa",-10.4983049990229,FALSE
"bowl of cereal","vqa",-7.40726254566455,FALSE
"bowl of cherry","vqa",-10.4983049990229,FALSE
"bowl of chip","vqa",-10.903770107131,FALSE
"bowl of food","vqa",-6.64109023008971,FALSE
"bowl of fruit","vqa",-7.93335564156133,FALSE
"bowl of noodle","vqa",-10.2106229265711,FALSE
"bowl of nut","vqa",-10.903770107131,FALSE
"bowl of pasta","vqa",-10.903770107131,FALSE
"bowl of potato","vqa",-10.903770107131,FALSE
"bowl of salad","vqa",-9.98747937525687,FALSE
"bowl of soup","vqa",-10.903770107131,FALSE
"bowl of strawberry","vqa",-9.03196793022944,FALSE
"bowl of toy","vqa",-9.98747937525687,FALSE
"bowl of vegetable","vqa",-9.98747937525687,FALSE
"bowl of water","vqa",-10.903770107131,FALSE
"bowl of watermelon","vqa",-10.4983049990229,FALSE
"box","vqa_yoloe",-2.54274514795047,TRUE
"box lid","vqa",-9.98747937525687,FALSE
"box of cereal","vqa",-8.37804146282277,FALSE
"box of corn flake","vqa",-9.65100713863566,FALSE
"box of crayon","vqa",-10.4983049990229,FALSE
"box of food","vqa",-9.51747574601114,FALSE
"box of snack","vqa",-10.4983049990229,FALSE
"box of tea","vqa",-10.903770107131,FALSE
"box of tissue","vqa",-10.4983049990229,FALSE
"box of toy","vqa",-10.903770107131,FALSE
"box of water","vqa",-10.903770107131,FALSE
"boy","vqa",-5.78278675586591,TRUE
"boy and camera","vqa",-10.903770107131,FALSE
"boy doll","vqa",-10.903770107131,FALSE
"bracelet","vqa",-10.2106229265711,FALSE
"bread","vqa_yoloe",-5.56554136463621,TRUE
"bread bag","vqa",-10.4983049990229,FALSE
"bread box","vqa",-10.4983049990229,FALSE
"brick","vqa",-10.4983049990229,FALSE
"brick chimney","vqa",-10.903770107131,FALSE
"brick fireplace","vqa",-10.903770107131,FALSE
"brick floor","vqa",-9.98747937525687,FALSE
"brick wall","vqa",-8.37804146282277,FALSE
"bridge","vqa",-8.76370394363476,FALSE
"broccoli","vqa",-8.88886708658876,FALSE
"broom","vqa_yoloe",-6.41988025718766,TRUE
"brown bag","vqa",-8.82432856545119,FALSE
"brown ball","vqa",-9.98747937525687,FALSE
"brown box","vqa",-8.50587483433266,FALSE
"brown cabinet","vqa",-8.30108042168665,FALSE
"brown cup","vqa",-10.903770107131,FALSE
"brown mat","vqa",-9.80515781846292,FALSE
"brown paper bag","vqa",-9.11201063790297,FALSE
"brown shelf","vqa",-9.98747937525687,FALSE
"brown shoe","vqa",-8.55239484996755,FALSE
"brown sofa","vqa",-9.03196793022944,FALSE
"brown stuff animal","vqa",-10.903770107131,FALSE
"brown stuff toy","vqa",-10.903770107131,FALSE
"brown teddy bear","vqa",-9.80515781846292,FALSE
"brush","vqa_yoloe",-6.97709599882605,TRUE
"bubble","vqa_yoloe",-7.18237064333424,FALSE
"bubble blower","vqa",-8.50587483433266,FALSE
"bubble bottle","vqa",-10.4983049990229,FALSE
"bubble maker","vqa",-9.80515781846292,FALSE
"bubble wand","vqa",-9.80515781846292,FALSE
"bucket","vqa_yoloe",-3.8904635966576,TRUE
"bucket of fruit","vqa",-10.903770107131,FALSE
"build","vqa",-6.17638228841869,TRUE
"build block","vqa",-10.903770107131,FALSE
"building","vqa",-9.51747574601114,FALSE
"bunny","vqa_yoloe",-8.31774700252592,TRUE
"bunny ear","vqa",-10.903770107131,FALSE
"bus","vqa_yoloe",-8.81557863226986,TRUE
"bush","vqa",-6.84332709658461,FALSE
"butter","vqa_yoloe",-7.95224095190257,TRUE
"butterfly","vqa_yoloe",-8.21836553604868,TRUE
"cabinet","vqa",-4.05099913648165,FALSE
"cable","vqa",-9.98747937525687,FALSE
"cactus","vqa",-8.16293008320583,FALSE
"cage","vqa",-7.93335564156133,FALSE
"cake","vqa_yoloe",-6.69596730273109,TRUE
"cake stand","vqa",-10.903770107131,FALSE
"calculator","vqa",-9.39969271035475,FALSE
"calendar","vqa",-7.98599937504675,FALSE
"camel","vqa",-9.98747937525687,FALSE
"camera","vqa_yoloe",-5.79558608347639,TRUE
"can","vqa_yoloe",-4.73236718922977,TRUE
"can of soda","vqa",-10.903770107131,FALSE
"can opener","vqa",-9.98747937525687,FALSE
"candle","vqa",-7.90803783357704,FALSE
"candy","vqa_yoloe",-10.0181019692479,TRUE
"candy cane","vqa",-9.11201063790297,FALSE
"canister","vqa",-10.903770107131,FALSE
"cap","vqa",-9.11201063790297,FALSE
"car","vqa_yoloe",-4.59539931647377,TRUE
"car battery charger","vqa",-10.903770107131,FALSE
"car door","vqa",-9.1990220148926,FALSE
"car seat","vqa",-6.43786198847645,FALSE
"car toy","vqa",-8.82432856545119,FALSE
"car wheel","vqa",-10.4983049990229,FALSE
"car window","vqa",-8.33882074966949,FALSE
"card","vqa",-7.76827589120188,FALSE
"card game","vqa",-10.4983049990229,FALSE
"cardboard","vqa",-9.80515781846292,FALSE
"cardboard box","vqa",-7.22746943522395,FALSE
"carpet","vqa",-5.49212405527599,FALSE
"carrot","vqa_yoloe",-7.13125771458304,FALSE
"cart","vqa",-9.11201063790297,FALSE
"cartoon","vqa",-10.903770107131,FALSE
"cartoon character","vqa",-10.903770107131,FALSE
"case","vqa",-10.903770107131,FALSE
"cat","vqa_yoloe",-4.04174841825189,TRUE
"cat bed","vqa",-8.10040972622449,FALSE
"cat food","vqa",-9.1990220148926,FALSE
"cat food bowl","vqa",-8.50587483433266,FALSE
"cat food box","vqa",-10.2106229265711,FALSE
"cat house","vqa",-10.4983049990229,FALSE
"cat litter box","vqa",-10.903770107131,FALSE
"cat toy","vqa",-7.19019804042672,FALSE
"cat tree","vqa",-6.31880262846046,FALSE
"cd","vqa",-10.903770107131,FALSE
"ceiling","vqa",-5.08963957530596,FALSE
"ceiling fan","vqa",-6.04008922599144,FALSE
"ceiling light","vqa",-9.1990220148926,FALSE
"cereal","vqa_yoloe",-9.03809576168947,TRUE
"cereal box","vqa",-8.70654552979481,FALSE
"chain","vqa",-10.903770107131,FALSE
"chair","vqa_yoloe",-1.22290456993066,TRUE
"chalk","vqa_yoloe",-7.5623499777962,TRUE
"chandelier","vqa",-5.71638430129027,FALSE
"charger","vqa",-9.98747937525687,FALSE
"cheese","vqa_yoloe",-9.64276645689879,TRUE
"chess board","vqa",-9.65100713863566,FALSE
"chess piece","vqa",-9.29433219469693,FALSE
"chessboard","vqa",-8.95785995807572,FALSE
"chicken","vqa_yoloe",-8.96060872969823,TRUE
"child","vqa",-2.72920807965159,TRUE
"child 's foot","vqa",-7.4380342043313,FALSE
"child 's hand","vqa",-7.85924766940761,FALSE
"child 's head","vqa",-6.14587883412527,FALSE
"child 's head camera","vqa",-10.2106229265711,FALSE
"child 's leg","vqa",-9.80515781846292,FALSE
"child and baby","vqa",-10.2106229265711,FALSE
"child and doll","vqa",-10.903770107131,FALSE
"child and man","vqa",-10.4983049990229,FALSE
"child and person","vqa",-10.4983049990229,FALSE
"child and toy","vqa",-8.65247830852453,FALSE
"child in dress","vqa",-10.4983049990229,FALSE
"child seat","vqa",-10.2106229265711,FALSE
"chimney","vqa",-10.903770107131,FALSE
"chop board","vqa",-9.65100713863566,FALSE
"chopstick","vqa",-9.29433219469693,FALSE
"christmas ball","vqa",-8.70654552979481,FALSE
"christmas decoration","vqa",-7.30645784654258,FALSE
"christmas light","vqa",-7.85924766940761,FALSE
"christmas present","vqa",-8.82432856545119,FALSE
"christmas stocking","vqa",-6.78473293231856,FALSE
"christmas tree","vqa",-4.31966956105949,FALSE
"christmas tree decoration","vqa",-8.55239484996755,FALSE
"christmas tree ornament","vqa",-10.903770107131,FALSE
"christmas tree toy","vqa",-10.4983049990229,FALSE
"christmas wreath","vqa",-10.2106229265711,FALSE
"clean cloth","vqa",-10.903770107131,FALSE
"climb wall","vqa",-9.29433219469693,FALSE
"clock","vqa_yoloe",-4.69504847154249,TRUE
"closet","vqa_yoloe",-8.58450152357477,TRUE
"cloth","vqa",-4.98085210255816,FALSE
"clothe","vqa",-3.82965329093367,FALSE
"clothe basket","vqa",-10.903770107131,FALSE
"clothe dryer","vqa",-7.81272765377271,FALSE
"clothe hanger","vqa",-8.76370394363476,FALSE
"clothe rack","vqa",-8.10040972622449,FALSE
"clothesline","vqa",-10.2106229265711,FALSE
"clothespin","vqa",-10.4983049990229,FALSE
"cloud","vqa_yoloe",-11.1037265147143,TRUE
"coat","vqa_yoloe",-9.31607935187844,TRUE
"coat rack","vqa",-10.903770107131,FALSE
"coca cola","vqa",-10.903770107131,FALSE
"coffee box","vqa",-10.4983049990229,FALSE
"coffee cup","vqa",-8.04156922620156,FALSE
"coffee filter","vqa",-10.903770107131,FALSE
"coffee kettle","vqa",-10.903770107131,FALSE
"coffee machine","vqa",-8.46142307176182,FALSE
"coffee maker","vqa",-6.59970501392686,FALSE
"coffee mug","vqa",-9.11201063790297,FALSE
"coffee pot","vqa",-9.39969271035475,FALSE
"coffee table","vqa",-8.04156922620156,FALSE
"coin","vqa",-10.4983049990229,FALSE
"comb","vqa_yoloe",-8.06649578137486,TRUE
"computer","vqa",-6.13733177354682,FALSE
"computer desk","vqa",-10.4983049990229,FALSE
"computer monitor","vqa",-7.83571717199741,FALSE
"computer screen","vqa",-9.39969271035475,FALSE
"computer tower","vqa",-6.45525373118831,FALSE
"cone","vqa",-7.4380342043313,FALSE
"container","vqa",-4.59476133328735,FALSE
"container lid","vqa",-10.903770107131,FALSE
"container of food","vqa",-10.903770107131,FALSE
"container with toy","vqa",-10.4983049990229,FALSE
"controller","vqa",-10.2106229265711,FALSE
"cookie","vqa_yoloe",-7.75374745930105,TRUE
"cookie cutter","vqa",-10.2106229265711,FALSE
"cord","vqa",-9.80515781846292,FALSE
"corn","vqa_yoloe",-9.41809315700636,TRUE
"couch","vqa_yoloe",-2.06594296743277,TRUE
"counter","vqa",-8.13118138489125,FALSE
"countertop","vqa",-8.26471277751577,FALSE
"cow","vqa_yoloe",-8.00245875612038,TRUE
"crayon","vqa_yoloe",-4.92258802252124,TRUE
"crib","vqa_yoloe",-4.57320829866764,TRUE
"crocodile","vqa",-10.903770107131,FALSE
"cube","vqa",-9.39969271035475,FALSE
"cuboid","vqa",-10.903770107131,FALSE
"cucumber","vqa",-10.2106229265711,FALSE
"cup","vqa_yoloe",-2.16019917106236,TRUE
"cup holder","vqa",-9.98747937525687,FALSE
"cup with straw","vqa",-9.29433219469693,FALSE
"cupboard","vqa",-5.40047315989645,FALSE
"cupcake","vqa",-8.19571990602882,FALSE
"cupcake tray","vqa",-9.80515781846292,FALSE
"cupcake wrapper","vqa",-10.903770107131,FALSE
"curtain","vqa",-3.37409515687731,FALSE
"curtain rod","vqa",-10.903770107131,FALSE
"cushion","vqa",-7.40726254566455,FALSE
"cut board","vqa",-9.1990220148926,FALSE
"cutting board","vqa",-10.903770107131,FALSE
"cylinder","vqa",-9.65100713863566,FALSE
"deck","vqa",-9.51747574601114,FALSE
"decoration","vqa",-9.1990220148926,FALSE
"deer","vqa_yoloe",-9.7047732496023,TRUE
"desk","vqa",-5.85071409715082,FALSE
"desk lamp","vqa",-9.1990220148926,FALSE
"detergent","vqa",-9.1990220148926,FALSE
"detergent bottle","vqa",-10.2106229265711,FALSE
"diaper","vqa_yoloe",-7.40338490016142,TRUE
"dining table","vqa",-9.51747574601114,FALSE
"dinosaur","vqa",-8.82432856545119,FALSE
"dinosaur skeleton","vqa",-10.903770107131,FALSE
"dinosaur toy","vqa",-9.11201063790297,FALSE
"disc","vqa",-9.51747574601114,FALSE
"dish","vqa_yoloe",-8.65346894912162,TRUE
"dish brush","vqa",-10.903770107131,FALSE
"dish rack","vqa",-6.19423990581869,FALSE
"dish soap","vqa",-10.903770107131,FALSE
"dish soap bottle","vqa",-9.98747937525687,FALSE
"dishware","vqa",-10.2106229265711,FALSE
"dishwashe liquid","vqa",-9.98747937525687,FALSE
"dishwasher","vqa",-6.31371355895299,FALSE
"dog","vqa_yoloe",-3.5228888982443,TRUE
"dog and child","vqa",-10.903770107131,FALSE
"dog bed","vqa",-8.46142307176182,FALSE
"dog book","vqa",-10.903770107131,FALSE
"dog bowl","vqa",-8.46142307176182,FALSE
"dog crate","vqa",-10.4983049990229,FALSE
"dog food","vqa",-10.903770107131,FALSE
"dog food bowl","vqa",-9.98747937525687,FALSE
"dog house","vqa",-9.29433219469693,FALSE
"dog toy","vqa",-8.50587483433266,FALSE
"doll","vqa_yoloe",-4.03691332179129,TRUE
"doll bed","vqa",-10.4983049990229,FALSE
"doll house","vqa",-8.10040972622449,FALSE
"doll skeleton","vqa",-10.903770107131,FALSE
"dollhouse","vqa",-9.39969271035475,FALSE
"dolphin","vqa",-9.98747937525687,FALSE
"dolphin toy","vqa",-9.80515781846292,FALSE
"donut","vqa",-9.65100713863566,TRUE
"door","vqa_yoloe",-2.47831246075605,TRUE
"door frame","vqa",-6.86952946897863,FALSE
"door handle","vqa",-6.86071883929648,FALSE
"door hinge","vqa",-10.2106229265711,FALSE
"door knob","vqa",-6.69164250925254,FALSE
"door lock","vqa",-9.65100713863566,FALSE
"door mat","vqa",-7.5895841024585,FALSE
"door mat cover","vqa",-9.39969271035475,FALSE
"door mat cover cover","vqa",-10.4983049990229,FALSE
"door mat cover holder","vqa",-9.65100713863566,FALSE
"door mat holder","vqa",-9.65100713863566,FALSE
"door stand holder","vqa",-9.98747937525687,FALSE
"doorbell","vqa",-10.4983049990229,FALSE
"doorframe","vqa",-5.36840628409979,FALSE
"dough","vqa",-9.65100713863566,FALSE
"dragon","vqa",-9.98747937525687,FALSE
"draw","vqa",-9.98747937525687,TRUE
"drawer","vqa_yoloe",-5.85426645145858,TRUE
"dress","vqa_yoloe",-7.50297379384467,TRUE
"dresser","vqa",-5.73328611209288,FALSE
"drill","vqa",-8.41886345734303,FALSE
"drink","vqa_yoloe",-8.0489318123751,TRUE
"drink bottle","vqa",-9.98747937525687,FALSE
"drink cup","vqa",-9.98747937525687,FALSE
"drum","vqa",-7.06431779453772,FALSE
"drum set","vqa",-10.903770107131,FALSE
"drumstick","vqa",-10.903770107131,FALSE
"duck","vqa_yoloe",-8.13566928870193,TRUE
"duck head","vqa",-10.903770107131,FALSE
"duck toy","vqa",-8.76370394363476,FALSE
"duckle","vqa",-10.4983049990229,FALSE
"duckle toy","vqa",-10.903770107131,FALSE
"dumbbell","vqa",-8.37804146282277,FALSE
"dustpan","vqa",-8.46142307176182,FALSE
"earphone","vqa",-9.98747937525687,FALSE
"easel","vqa",-10.903770107131,FALSE
"egg","vqa_yoloe",-5.57449450591741,TRUE
"egg carton","vqa",-8.33882074966949,FALSE
"egg shell","vqa",-9.80515781846292,FALSE
"egg tray","vqa",-9.51747574601114,FALSE
"egg yolk","vqa",-9.65100713863566,FALSE
"eggplant","vqa",-10.903770107131,FALSE
"electric mixer","vqa",-10.903770107131,FALSE
"elephant","vqa_yoloe",-7.78450974774076,TRUE
"elephant book","vqa",-10.903770107131,FALSE
"elephant toy","vqa",-6.86952946897863,FALSE
"enclosure","vqa",-10.903770107131,FALSE
"envelope","vqa",-10.903770107131,FALSE
"exercise bike","vqa",-9.65100713863566,FALSE
"exercise machine","vqa",-9.80515781846292,FALSE
"face","vqa_yoloe",-8.37333400837456,TRUE
"fan","vqa",-4.2116863646244,FALSE
"faucet","vqa",-7.62662537413885,FALSE
"feather","vqa",-10.903770107131,FALSE
"fence","vqa",-5.46135239660923,FALSE
"fidget spinner","vqa",-10.903770107131,FALSE
"file cabinet","vqa",-10.903770107131,FALSE
"finger","vqa_yoloe",-7.90278917801809,TRUE
"fire","vqa",-10.903770107131,FALSE
"fire extinguisher","vqa",-7.98599937504675,FALSE
"fire hydrant","vqa",-9.80515781846292,FALSE
"fire place","vqa",-9.65100713863566,FALSE
"fire truck","vqa",-9.98747937525687,FALSE
"fireplace","vqa",-5.41070866379048,FALSE
"fish","vqa_yoloe",-6.56476263111709,TRUE
"fish food","vqa",-10.4983049990229,FALSE
"fish tank","vqa",-8.16293008320583,FALSE
"fish toy","vqa",-10.4983049990229,FALSE
"fishbowl","vqa",-10.903770107131,FALSE
"fixture","vqa",-6.76860355038867,FALSE
"flag","vqa_yoloe",-6.86017187623012,TRUE
"flagpole","vqa",-10.903770107131,FALSE
"flamingo","vqa",-10.2106229265711,FALSE
"flashlight","vqa",-10.903770107131,FALSE
"floor","vqa",-3.64359894113054,FALSE
"floor lamp","vqa",-10.903770107131,FALSE
"floor mat","vqa",-9.51747574601114,FALSE
"flower","vqa_yoloe",-4.44008110559497,TRUE
"flower bed","vqa",-9.98747937525687,FALSE
"flower pot","vqa",-7.37740958251487,FALSE
"flower vase","vqa",-6.16319528413673,FALSE
"folder","vqa",-10.2106229265711,FALSE
"food","vqa_yoloe",-4.92534845835165,TRUE
"food bag","vqa",-10.903770107131,FALSE
"food bowl","vqa",-9.98747937525687,FALSE
"food box","vqa",-8.70654552979481,FALSE
"food container","vqa",-7.48604342351766,FALSE
"food cup","vqa",-10.903770107131,FALSE
"food item","vqa",-10.4983049990229,FALSE
"food package","vqa",-9.29433219469693,FALSE
"food packet","vqa",-9.51747574601114,FALSE
"food plate","vqa",-9.98747937525687,FALSE
"food spoon","vqa",-10.903770107131,FALSE
"food tray","vqa",-8.88886708658876,FALSE
"foot","vqa_yoloe",-8.08469926953043,TRUE
"football","vqa",-7.90803783357704,FALSE
"fork","vqa_yoloe",-4.76649527806508,TRUE
"fox","vqa",-10.903770107131,FALSE
"frame","vqa",-6.65527486508167,FALSE
"fridge","vqa",-5.17367032415745,FALSE
"frisbee","vqa",-9.65100713863566,FALSE
"frog","vqa_yoloe",-6.97817384655676,TRUE
"fruit","vqa",-7.17807667989438,FALSE
"fruit basket","vqa",-9.29433219469693,FALSE
"gallary","vqa",-10.903770107131,FALSE
"game controller","vqa",-9.80515781846292,FALSE
"garage door","vqa",-9.39969271035475,FALSE
"garden","vqa_yoloe",-9.02069214320407,TRUE
"garden hose","vqa",-10.903770107131,FALSE
"garlic","vqa",-10.903770107131,FALSE
"gate","vqa",-8.26471277751577,FALSE
"ghost","vqa",-10.903770107131,FALSE
"gift","vqa",-10.903770107131,FALSE
"gift bag","vqa",-9.03196793022944,FALSE
"gift box","vqa",-8.76370394363476,FALSE
"giraffe","vqa_yoloe",-8.57769027273412,TRUE
"giraffe toy","vqa",-8.2296214577045,FALSE
"girl","vqa",-4.36563028336336,TRUE
"girl and adult","vqa",-10.903770107131,FALSE
"girl and child","vqa",-10.903770107131,FALSE
"girl and dog","vqa",-10.903770107131,FALSE
"girl and toy","vqa",-10.4983049990229,FALSE
"girl doll","vqa",-9.65100713863566,FALSE
"girl in clothe","vqa",-9.80515781846292,FALSE
"girl in dress","vqa",-8.55239484996755,FALSE
"girl in shirt","vqa",-9.98747937525687,FALSE
"girl with dress","vqa",-10.903770107131,FALSE
"girl with hair","vqa",-10.4983049990229,FALSE
"glass","vqa_yoloe",-5.8539336473492,TRUE
"glass bottle","vqa",-9.80515781846292,FALSE
"glass bowl","vqa",-10.903770107131,FALSE
"glass door","vqa",-8.30108042168665,FALSE
"glass enclosure","vqa",-10.2106229265711,FALSE
"glass of milk","vqa",-10.903770107131,FALSE
"glass of water","vqa",-9.03196793022944,FALSE
"glass of wine","vqa",-10.903770107131,FALSE
"glass table","vqa",-9.98747937525687,FALSE
"glass wall","vqa",-9.98747937525687,FALSE
"glass window","vqa",-10.2106229265711,FALSE
